O [7, 6]
C [6, 6]
C [5, 6]
C [4, 6]
C [3, 6]
E [3, 5]
C [2, 5]
E [2, 4]
E [2, 3]
E [2, 2]
B [3, 2]
D [3, 3]
D [3, 4]
B [4, 4]
E [4, 3]
E [4, 2]
B [5, 2]
D [5, 3]
D [5, 4]
D [5, 5]
C [4, 5]
B [5, 5]
B [6, 5]
E [6, 4]
E [6, 3]
E [6, 2]
B [7, 2]
D [7, 3]
D [7, 4]
D [7, 5]
E [7, 4]
E [7, 3]
E [7, 2]
C [6, 2]
D [6, 3]
D [6, 4]
D [6, 5]
C [5, 5]
E [5, 4]
E [5, 3]
E [5, 2]
C [4, 2]
D [4, 3]
D [4, 4]
C [3, 4]
E [3, 3]
E [3, 2]
C [2, 2]
D [2, 3]
D [2, 4]
D [2, 5]
B [3, 5]
D [3, 6]
D [3, 7]
C [2, 7]
B [3, 7]
B [4, 7]
B [5, 7]
B [6, 7]
B [7, 7]
C [6, 7]
C [5, 7]
C [4, 7]
C [3, 7]
E [3, 6]
B [4, 6]
B [5, 6]
B [6, 6]
B [7, 6]
B [8, 6]
